Region,State,Date,EVs
Landkreis Alb-Donau-Kreis,Baden-Württemberg,2017-01-01,17
Landkreis Biberach,Baden-Württemberg,2017-01-01,8
Landkreis Böblingen,Baden-Württemberg,2017-01-01,19
Landkreis Bodenseekreis,Baden-Württemberg,2017-01-01,68
Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg,2017-01-01,36
Landkreis Calw,Baden-Württemberg,2017-01-01,2
Landkreis Emmendingen,Baden-Württemberg,2017-01-01,6
Landkreis Enzkreis,Baden-Württemberg,2017-01-01,6
Landkreis Esslingen,Baden-Württemberg,2017-01-01,23
Landkreis Freudenstadt,Baden-Württemberg,2017-01-01,6
Landkreis Göppingen,Baden-Württemberg,2017-01-01,13
Landkreis Heidenheim,Baden-Württemberg,2017-01-01,21
Landkreis Heilbronn,Baden-Württemberg,2017-01-01,25
Landkreis Hohenlohekreis,Baden-Württemberg,2017-01-01,8
Landkreis Karlsruhe,Baden-Württemberg,2017-01-01,131
Landkreis Konstanz,Baden-Württemberg,2017-01-01,8
Landkreis Lörrach,Baden-Württemberg,2017-01-01,52
Landkreis Ludwigsburg,Baden-Württemberg,2017-01-01,49
Landkreis Main-Tauber-Kreis,Baden-Württemberg,2017-01-01,17
Landkreis Neckar-Odenwald-Kreis,Baden-Württemberg,2017-01-01,0
Landkreis Ortenaukreis,Baden-Württemberg,2017-01-01,38
Landkreis Ostalbkreis,Baden-Württemberg,2017-01-01,23
Landkreis Rastatt,Baden-Württemberg,2017-01-01,4
Landkreis Ravensburg,Baden-Württemberg,2017-01-01,16
Landkreis Rems-Murr-Kreis,Baden-Württemberg,2017-01-01,29
Landkreis Reutlingen,Baden-Württemberg,2017-01-01,14
Landkreis Rhein-Neckar-Kreis,Baden-Württemberg,2017-01-01,32
Landkreis Rottweil,Baden-Württemberg,2017-01-01,5
Landkreis Schwäbisch Hall,Baden-Württemberg,2017-01-01,6
Landkreis Schwarzwald-Baar-Kreis,Baden-Württemberg,2017-01-01,31
Landkreis Sigmaringen,Baden-Württemberg,2017-01-01,2
Landkreis Tübingen,Baden-Württemberg,2017-01-01,16
Landkreis Tuttlingen,Baden-Württemberg,2017-01-01,2
Landkreis Waldshut,Baden-Württemberg,2017-01-01,44
Landkreis Zollernalbkreis,Baden-Württemberg,2017-01-01,0
Stadtkreis Baden-Baden,Baden-Württemberg,2017-01-01,2
Stadtkreis Freiburg im Breisgau,Baden-Württemberg,2017-01-01,22
Stadtkreis Heidelberg,Baden-Württemberg,2017-01-01,14
Stadtkreis Heilbronn,Baden-Württemberg,2017-01-01,7
Stadtkreis Karlsruhe,Baden-Württemberg,2017-01-01,2
Stadtkreis Mannheim,Baden-Württemberg,2017-01-01,7
Stadtkreis Pforzheim,Baden-Württemberg,2017-01-01,0
Stadtkreis Stuttgart,Baden-Württemberg,2017-01-01,15
Stadtkreis Ulm,Baden-Württemberg,2017-01-01,84
Kreisfreie Stadt Amberg,Bayern,2017-01-01,0
Kreisfreie Stadt Ansbach,Bayern,2017-01-01,4
Kreisfreie Stadt Aschaffenburg,Bayern,2017-01-01,0
Kreisfreie Stadt Augsburg,Bayern,2017-01-01,30
Kreisfreie Stadt Bamberg,Bayern,2017-01-01,5
Kreisfreie Stadt Bayreuth,Bayern,2017-01-01,2
Kreisfreie Stadt Coburg,Bayern,2017-01-01,0
Kreisfreie Stadt Erlangen,Bayern,2017-01-01,9
Kreisfreie Stadt Fürth,Bayern,2017-01-01,14
Kreisfreie Stadt Hof,Bayern,2017-01-01,2
Kreisfreie Stadt Ingolstadt,Bayern,2017-01-01,40
Kreisfreie Stadt Kaufbeuren,Bayern,2017-01-01,8
Kreisfreie Stadt Kempten (Allgäu),Bayern,2017-01-01,0
Kreisfreie Stadt Landshut,Bayern,2017-01-01,13
Kreisfreie Stadt Memmingen,Bayern,2017-01-01,8
Kreisfreie Stadt München,Bayern,2017-01-01,37
Kreisfreie Stadt Nürnberg,Bayern,2017-01-01,26
Kreisfreie Stadt Passau,Bayern,2017-01-01,14
Kreisfreie Stadt Regensburg,Bayern,2017-01-01,50
Kreisfreie Stadt Rosenheim,Bayern,2017-01-01,0
Kreisfreie Stadt Schwabach,Bayern,2017-01-01,8
Kreisfreie Stadt Schweinfurt,Bayern,2017-01-01,13
Kreisfreie Stadt Straubing,Bayern,2017-01-01,17
Kreisfreie Stadt Weiden i.d. OPf.,Bayern,2017-01-01,2
Kreisfreie Stadt Würzburg,Bayern,2017-01-01,8
Landkreis Aichach-Friedberg,Bayern,2017-01-01,10
Landkreis Altötting,Bayern,2017-01-01,4
Landkreis Amberg-Sulzbach,Bayern,2017-01-01,2
Landkreis Ansbach,Bayern,2017-01-01,40
Landkreis Aschaffenburg,Bayern,2017-01-01,18
Landkreis Augsburg,Bayern,2017-01-01,47
Landkreis Bad Kissingen,Bayern,2017-01-01,12
Landkreis Bad Tölz-Wolfratshausen,Bayern,2017-01-01,13
Landkreis Bamberg,Bayern,2017-01-01,11
Landkreis Bayreuth,Bayern,2017-01-01,11
Landkreis Berchtesgadener Land,Bayern,2017-01-01,13
Landkreis Cham,Bayern,2017-01-01,36
Landkreis Coburg,Bayern,2017-01-01,4
Landkreis Dachau,Bayern,2017-01-01,2
Landkreis Deggendorf,Bayern,2017-01-01,72
Landkreis Dillingen a.d. Donau,Bayern,2017-01-01,4
Landkreis Dingolfing-Landau,Bayern,2017-01-01,4
Landkreis Donau-Ries,Bayern,2017-01-01,12
Landkreis Ebersberg,Bayern,2017-01-01,4
Landkreis Eichstätt,Bayern,2017-01-01,18
Landkreis Erding,Bayern,2017-01-01,1
Landkreis Erlangen-Höchstadt,Bayern,2017-01-01,16
Landkreis Forchheim,Bayern,2017-01-01,6
Landkreis Freising,Bayern,2017-01-01,4
Landkreis Freyung-Grafenau,Bayern,2017-01-01,63
Landkreis Fürstenfeldbruck,Bayern,2017-01-01,1
Landkreis Fürth,Bayern,2017-01-01,13
Landkreis Garmisch-Partenkirchen,Bayern,2017-01-01,6
Landkreis Günzburg,Bayern,2017-01-01,27
Landkreis Haßberge,Bayern,2017-01-01,6
Landkreis Hof,Bayern,2017-01-01,10
Landkreis Kelheim,Bayern,2017-01-01,0
Landkreis Kitzingen,Bayern,2017-01-01,19
Landkreis Kronach,Bayern,2017-01-01,0
Landkreis Kulmbach,Bayern,2017-01-01,12
Landkreis Landsberg am Lech,Bayern,2017-01-01,17
Landkreis Landshut,Bayern,2017-01-01,12
Landkreis Lichtenfels,Bayern,2017-01-01,0
Landkreis Lindau (Bodensee),Bayern,2017-01-01,10
Landkreis Main-Spessart,Bayern,2017-01-01,4
Landkreis Miesbach,Bayern,2017-01-01,6
Landkreis Miltenberg,Bayern,2017-01-01,0
Landkreis Mühldorf a. Inn,Bayern,2017-01-01,12
Landkreis München,Bayern,2017-01-01,18
Landkreis Neuburg-Schrobenhausen,Bayern,2017-01-01,1
Landkreis Neumarkt i.d. OPf.,Bayern,2017-01-01,40
Landkreis Neustadt a.d. Aisch-Bad Windsheim,Bayern,2017-01-01,18
Landkreis Neustadt a.d. Waldnaab,Bayern,2017-01-01,2
Landkreis Neu-Ulm,Bayern,2017-01-01,31
